date,division,unemployment
2019-07-19,VIERNES,132
2019-07-20,SABADO,67
2019-07-21,DOMINGO,57
2019-07-22,LUNES,112
2019-07-23,MARTES,93
2019-07-24,MIERCOLES,84
2019-07-25,JUEVES,102
2019-07-26,VIERNES,108
2019-07-27,SABADO,109
2019-07-28,DOMINGO,63
2019-07-29,LUNES,102
2019-07-30,MARTES,79
2019-07-31,MIERCOLES,87
2019-08-01,JUEVES,98
2019-08-02,VIERNES,108
2019-08-03,SABADO,99
2019-08-04,DOMINGO,72
2019-08-05,LUNES,83
2019-08-06,MARTES,96
2019-08-07,MIERCOLES,77
2019-08-08,JUEVES,118
2019-08-09,VIERNES,99
2019-08-10,SABADO,93
2019-08-11,DOMINGO,61
2019-08-12,LUNES,96
2019-08-13,MARTES,103
2019-08-14,MIERCOLES,95
2019-08-15,JUEVES,98
2019-08-16,VIERNES,111
2019-08-17,SABADO,103
2019-08-18,DOMINGO,55
2019-08-19,LUNES,51
2019-08-20,MARTES,112
2019-08-21,MIERCOLES,115
2019-08-22,JUEVES,97
2019-08-23,VIERNES,89
2019-08-24,SABADO,86
2019-08-25,DOMINGO,51
2019-08-26,LUNES,98
2019-08-27,MARTES,104
2019-08-28,MIERCOLES,92
2019-08-29,JUEVES,104
2019-08-30,VIERNES,111
2019-08-31,SABADO,90
2019-09-01,DOMINGO,62
2019-09-02,LUNES,84
2019-09-03,MARTES,127
2019-09-04,MIERCOLES,119
2019-09-05,JUEVES,115
2019-09-06,VIERNES,107
2019-09-07,SABADO,110
2019-09-08,DOMINGO,74
2019-09-09,LUNES,107
2019-09-10,MARTES,110
2019-09-11,MIERCOLES,97
2019-09-12,JUEVES,92
2019-09-13,VIERNES,101
2019-09-14,SABADO,116
2019-09-15,DOMINGO,67
2019-09-16,LUNES,84
2019-09-17,MARTES,105
2019-09-18,MIERCOLES,90
2019-09-19,JUEVES,104
2019-09-20,VIERNES,104
2019-09-21,SABADO,97
2019-09-22,DOMINGO,76
2019-09-23,LUNES,63
2019-09-24,MARTES,121
2019-09-25,MIERCOLES,91
2019-09-26,JUEVES,106
2019-09-27,VIERNES,101
2019-09-28,SABADO,116
2019-09-29,DOMINGO,56
2019-09-30,LUNES,96
2019-10-01,MARTES,111
2019-10-02,MIERCOLES,101
2019-10-03,JUEVES,90
2019-10-04,VIERNES,111
2019-10-05,SABADO,92
2019-10-06,DOMINGO,77
2019-10-07,LUNES,88
2019-10-08,MARTES,95
2019-10-09,MIERCOLES,88
2019-10-10,JUEVES,93
2019-10-11,VIERNES,130
2019-10-12,SABADO,86
2019-10-13,DOMINGO,67
2019-10-14,LUNES,47
2019-10-15,MARTES,99
2019-10-16,MIERCOLES,90
2019-10-17,JUEVES,69
2019-10-18,VIERNES,100
2019-10-19,SABADO,102
2019-10-20,DOMINGO,63
2019-10-21,LUNES,106
2019-10-22,MARTES,88
2019-10-23,MIERCOLES,97
2019-10-24,JUEVES,100
2019-10-25,VIERNES,116
2019-10-26,SABADO,111
2019-10-27,DOMINGO,67
2019-10-28,LUNES,93
2019-10-29,MARTES,110
2019-10-30,MIERCOLES,80
2019-10-31,JUEVES,102
2019-11-01,VIERNES,106
2019-11-02,SABADO,88
2019-11-03,DOMINGO,66
2019-11-04,LUNES,64
2019-11-05,MARTES,104
2019-11-06,MIERCOLES,103
2019-11-07,JUEVES,92
2019-11-08,VIERNES,101
2019-11-09,SABADO,88
2019-11-10,DOMINGO,57
2019-11-11,LUNES,55
2019-11-12,MARTES,98
2019-11-13,MIERCOLES,109
2019-11-14,JUEVES,97
2019-11-15,VIERNES,100
2019-11-16,SABADO,99
2019-11-17,DOMINGO,57
2019-11-18,LUNES,103
2019-11-19,MARTES,112
2019-11-20,MIERCOLES,120
2019-11-21,JUEVES,55
2019-11-22,VIERNES,65
2019-11-23,SABADO,70
2019-11-24,DOMINGO,56
2019-11-25,LUNES,117
2019-11-26,MARTES,73
2019-11-27,MIERCOLES,70
2019-11-28,JUEVES,93
2019-11-29,VIERNES,112
2019-11-30,SABADO,135
2019-12-01,DOMINGO,73
2019-12-02,LUNES,75
2019-12-03,MARTES,131
2019-12-04,MIERCOLES,89
2019-12-05,JUEVES,89
2019-12-06,VIERNES,152
2019-12-07,SABADO,115
2019-12-08,DOMINGO,65
2019-12-09,LUNES,127
2019-12-10,MARTES,113
2019-12-11,MIERCOLES,111
2019-12-12,JUEVES,101
2019-12-13,VIERNES,121
2019-12-14,SABADO,97
2019-12-15,DOMINGO,74
2019-12-16,LUNES,106
2019-12-17,MARTES,103
2019-12-18,MIERCOLES,104
2019-12-19,JUEVES,109
2019-12-20,VIERNES,120
2019-12-21,SABADO,109
2019-12-22,DOMINGO,74
2019-12-23,LUNES,107
2019-12-24,MARTES,82
2019-12-25,MIERCOLES,48
2019-12-26,JUEVES,97
2019-12-27,VIERNES,81
2019-12-28,SABADO,59
2019-12-29,DOMINGO,48
2019-12-30,LUNES,76
2019-12-31,MARTES,59
2020-01-01,MIERCOLES,29
2020-01-02,JUEVES,45
2020-01-03,VIERNES,55
2020-01-04,SABADO,43
2020-01-05,DOMINGO,24
2020-01-06,LUNES,30
2020-01-07,MARTES,80
2020-01-08,MIERCOLES,69
2020-01-09,JUEVES,74
2020-01-10,VIERNES,83
2020-01-11,SABADO,68
2020-01-12,DOMINGO,54
2020-01-13,LUNES,90
2020-01-14,MARTES,86
2020-01-15,MIERCOLES,98
2020-01-16,JUEVES,80
2020-01-17,VIERNES,77
2020-01-18,SABADO,86
2020-01-19,DOMINGO,62
2020-01-20,LUNES,72
2020-01-21,MARTES,74
2020-01-22,MIERCOLES,92
2020-01-23,JUEVES,90
2020-01-24,VIERNES,88
2020-01-25,SABADO,86
2020-01-26,DOMINGO,63
2020-01-27,LUNES,83
2020-01-28,MARTES,84
2020-01-29,MIERCOLES,98
2020-01-30,JUEVES,85
2020-01-31,VIERNES,99
2020-02-01,SABADO,134
2020-02-02,DOMINGO,54
2020-02-03,LUNES,92
2020-02-04,MARTES,114
2020-02-05,MIERCOLES,95
2020-02-06,JUEVES,62
2020-02-07,VIERNES,122
2020-02-08,SABADO,90
2020-02-09,DOMINGO,77
2020-02-10,LUNES,89
2020-02-11,MARTES,125
2020-02-12,MIERCOLES,91
2020-02-13,JUEVES,84
2020-02-14,VIERNES,85
2020-02-15,SABADO,96
2020-02-16,DOMINGO,81
2020-02-17,LUNES,78
2020-02-18,MARTES,95
2020-02-19,MIERCOLES,91
2020-02-20,JUEVES,94
2020-02-21,VIERNES,100
2020-02-22,SABADO,97
2020-02-23,DOMINGO,69
2020-02-24,LUNES,81
2020-02-25,MARTES,94
2020-02-26,MIERCOLES,109
2020-02-27,JUEVES,110
2020-02-28,VIERNES,133
2020-02-29,SABADO,124
2020-03-01,DOMINGO,78
2020-03-02,LUNES,103
2020-03-03,MARTES,119
2020-03-04,MIERCOLES,115
2020-03-05,JUEVES,114
2020-03-06,VIERNES,129
2020-03-07,SABADO,72
2020-03-08,DOMINGO,68
2020-03-09,LUNES,100
2020-03-10,MARTES,87
2020-03-11,MIERCOLES,78
2020-03-12,JUEVES,87
2020-03-13,VIERNES,110
2020-03-14,SABADO,88
2020-03-15,DOMINGO,59
2020-03-16,LUNES,69
2020-03-17,MARTES,61
2020-03-18,MIERCOLES,77
2020-03-19,JUEVES,65
2020-03-20,VIERNES,14
2020-03-21,SABADO,3
2020-03-22,DOMINGO,8
2020-03-23,LUNES,4
2020-03-24,MARTES,34
2020-03-25,MIERCOLES,7
2020-03-26,JUEVES,17
2020-03-27,VIERNES,14
2020-03-28,SABADO,12
2020-03-29,DOMINGO,11
2020-03-30,LUNES,17
2020-03-31,MARTES,15
2020-04-01,MIERCOLES,22
2020-04-02,JUEVES,25
2020-04-03,VIERNES,20
2020-04-04,SABADO,16
2020-04-05,DOMINGO,17
2020-04-06,LUNES,26
2020-04-07,MARTES,30
2020-04-08,MIERCOLES,15
2020-04-09,JUEVES,9
2020-04-10,VIERNES,5
2020-04-11,SABADO,8
2020-04-12,DOMINGO,7
2020-04-13,LUNES,16
2020-04-14,MARTES,27
2020-04-15,MIERCOLES,29
2020-04-16,JUEVES,32
2020-04-17,VIERNES,26
2020-04-18,SABADO,23
2020-04-19,DOMINGO,21
2020-04-20,LUNES,21
2020-04-21,MARTES,23
2020-04-22,MIERCOLES,20
2020-04-23,JUEVES,28
2020-04-24,VIERNES,32
2020-04-25,SABADO,26
2020-04-26,DOMINGO,16
2020-04-27,LUNES,46
2020-04-28,MARTES,28
2020-04-29,MIERCOLES,24
2020-04-30,JUEVES,29
2020-05-01,VIERNES,14
2020-05-02,SABADO,32
2020-05-03,DOMINGO,16
2020-05-04,LUNES,37
2020-05-05,MARTES,23
2020-05-06,MIERCOLES,31
2020-05-07,JUEVES,43
2020-05-08,VIERNES,36
2020-05-09,SABADO,31
2020-05-10,DOMINGO,18
2020-05-11,LUNES,45
2020-05-12,MARTES,34
2020-05-13,MIERCOLES,47
2020-05-14,JUEVES,31
2020-05-15,VIERNES,40
2020-05-16,SABADO,39
2020-05-17,DOMINGO,32
2020-05-18,LUNES,41
2020-05-19,MARTES,35
2020-05-20,MIERCOLES,52
2020-05-21,JUEVES,37
2020-05-22,VIERNES,57
2020-05-23,SABADO,37
2020-05-24,DOMINGO,18
2020-05-25,LUNES,24
2020-05-26,MARTES,49
2020-05-27,MIERCOLES,44
2020-05-28,JUEVES,44
2020-05-29,VIERNES,51
2020-05-30,SABADO,43
2020-05-31,DOMINGO,38
2020-06-01,LUNES,44
2020-06-02,MARTES,54
2020-06-03,MIERCOLES,48
2020-06-04,JUEVES,56
2020-06-05,VIERNES,44
2020-06-06,SABADO,69
2020-06-07,DOMINGO,29
2020-06-08,LUNES,46
2020-06-09,MARTES,52
2020-06-10,MIERCOLES,57
2020-06-11,JUEVES,46
2020-06-12,VIERNES,58
2020-06-13,SABADO,53
2020-06-14,DOMINGO,26
2020-06-15,LUNES,29
2020-06-16,MARTES,69
2020-06-17,MIERCOLES,49
2020-06-18,JUEVES,46
2020-06-19,VIERNES,62
2020-06-20,SABADO,51
2020-06-21,DOMINGO,37
2020-06-22,LUNES,37
2020-06-23,MARTES,63
2020-06-24,MIERCOLES,59
2020-06-25,JUEVES,59
2020-06-26,VIERNES,56
2020-06-27,SABADO,55
2020-06-28,DOMINGO,34
2020-06-29,LUNES,38
2020-06-30,MARTES,56
2020-07-01,MIERCOLES,50
2020-07-02,JUEVES,60
2020-07-03,VIERNES,73
2020-07-04,SABADO,62
2020-07-05,DOMINGO,35
2020-07-06,LUNES,62
2020-07-07,MARTES,75
2020-07-08,MIERCOLES,56
2020-07-09,JUEVES,63
2020-07-10,VIERNES,59
2020-07-11,SABADO,59
2020-07-12,DOMINGO,34
2020-07-13,LUNES,46
2020-07-14,MARTES,41
2020-07-15,MIERCOLES,48
2020-07-16,JUEVES,46
2020-07-17,VIERNES,64
2020-07-18,SABADO,62
2020-07-19,DOMINGO,28
2020-07-20,LUNES,29
2020-07-21,MARTES,46
2020-07-22,MIERCOLES,62
2020-07-23,JUEVES,38
2020-07-24,VIERNES,38
2020-07-25,SABADO,46
2020-07-26,DOMINGO,23
2020-07-27,LUNES,67
2020-07-28,MARTES,52
2020-07-29,MIERCOLES,58
2020-07-30,JUEVES,57
2020-07-31,VIERNES,63
2020-08-01,SABADO,43
2020-08-02,DOMINGO,34
2020-08-03,LUNES,43
2020-08-04,MARTES,49
2020-08-05,MIERCOLES,55
2020-08-06,JUEVES,42
2020-08-07,VIERNES,36
2020-08-08,SABADO,50
2020-08-09,DOMINGO,39
2020-08-10,LUNES,61
2020-08-11,MARTES,57
2020-08-12,MIERCOLES,46
2020-08-13,JUEVES,50
2020-08-14,VIERNES,65
2020-08-15,SABADO,50
2020-08-16,DOMINGO,30
2020-08-17,LUNES,26
2020-08-18,MARTES,53
2020-08-19,MIERCOLES,68
2020-08-20,JUEVES,49
2020-08-21,VIERNES,65
2020-08-22,SABADO,66
2020-08-23,DOMINGO,30
2020-08-24,LUNES,62
2020-08-25,MARTES,57
2020-08-26,MIERCOLES,66
2020-08-27,JUEVES,66
2020-08-28,VIERNES,75
2020-08-29,SABADO,73
2020-08-30,DOMINGO,34
2020-08-31,LUNES,62
2020-09-01,MARTES,60
2020-09-02,MIERCOLES,68
2020-09-03,JUEVES,68
2020-09-04,VIERNES,107
2020-09-05,SABADO,68
2020-09-06,DOMINGO,34
2020-09-07,LUNES,55
2020-09-08,MARTES,78
2020-09-09,MIERCOLES,54
2020-09-10,JUEVES,61
2020-09-11,VIERNES,53
2020-09-12,SABADO,78
2020-09-13,DOMINGO,44
2020-09-14,LUNES,67
2020-09-15,MARTES,74
2020-09-16,MIERCOLES,84
2020-09-17,JUEVES,73
2020-09-18,VIERNES,98
2020-09-19,SABADO,81
2020-09-20,DOMINGO,62
2020-09-21,LUNES,65
2020-09-22,MARTES,77
2020-09-23,MIERCOLES,57
2020-09-24,JUEVES,61
2020-09-25,VIERNES,65
2020-09-26,SABADO,75
2020-09-27,DOMINGO,47
2020-09-28,LUNES,60
2020-09-29,MARTES,57
2020-09-30,MIERCOLES,72
2020-10-01,JUEVES,74
2020-10-02,VIERNES,81
2020-10-03,SABADO,92
2020-10-04,DOMINGO,68
2020-10-05,LUNES,80
2020-10-06,MARTES,67
2020-10-07,MIERCOLES,67
2020-10-08,JUEVES,76
2020-10-09,VIERNES,78
2020-10-10,SABADO,79
2020-10-11,DOMINGO,54
2020-10-12,LUNES,26
2020-10-13,MARTES,60
2020-10-14,MIERCOLES,67
2020-10-15,JUEVES,74
2020-10-16,VIERNES,84
2020-10-17,SABADO,63
2020-10-18,DOMINGO,60
2020-10-19,LUNES,70
2020-10-20,MARTES,76
2020-10-21,MIERCOLES,59
2020-10-22,JUEVES,78
2020-10-23,VIERNES,83
2020-10-24,SABADO,87
2020-10-25,DOMINGO,57
2020-10-26,LUNES,60
2020-10-27,MARTES,71
2020-10-28,MIERCOLES,78
2020-10-29,JUEVES,86
2020-10-30,VIERNES,99
2020-10-31,SABADO,97
2020-11-01,DOMINGO,57
2020-11-02,LUNES,42
2020-11-03,MARTES,98
2020-11-04,MIERCOLES,73
2020-11-05,JUEVES,63
2020-11-06,VIERNES,65
2020-11-07,SABADO,93
2020-11-08,DOMINGO,58
2020-11-09,LUNES,77
2020-11-10,MARTES,77
2020-11-11,MIERCOLES,83
2020-11-12,JUEVES,67
2020-11-13,VIERNES,88
2020-11-14,SABADO,86
2020-11-15,DOMINGO,51
2020-11-16,LUNES,43
2020-11-17,MARTES,73
2020-11-18,MIERCOLES,74
2020-11-19,JUEVES,85
2020-11-20,VIERNES,90
2020-11-21,SABADO,89
2020-11-22,DOMINGO,65
2020-11-23,LUNES,71
2020-11-24,MARTES,83
2020-11-25,MIERCOLES,75
2020-11-26,JUEVES,90
2020-11-27,VIERNES,107
2020-11-28,SABADO,111
2020-11-29,DOMINGO,74
2020-11-30,LUNES,82
2020-12-01,MARTES,79
2020-12-02,MIERCOLES,70
2020-12-03,JUEVES,60
2020-12-04,VIERNES,106
2020-12-05,SABADO,99
2020-12-06,DOMINGO,77
2020-12-07,LUNES,106
2020-12-08,MARTES,51
2020-12-09,MIERCOLES,63
2020-12-10,JUEVES,71
2020-12-11,VIERNES,102
2020-12-12,SABADO,89
2020-12-13,DOMINGO,68
2020-12-14,LUNES,67
2020-12-15,MARTES,87
2020-12-16,MIERCOLES,80
2020-12-17,JUEVES,73
2020-12-18,VIERNES,105
2020-12-19,SABADO,106
2020-12-20,DOMINGO,72
2020-12-21,LUNES,83
2020-12-22,MARTES,83
2020-12-23,MIERCOLES,90
2020-12-24,JUEVES,95
2020-12-25,VIERNES,34
2020-12-26,SABADO,54
2020-12-27,DOMINGO,35
2020-12-28,LUNES,65
2020-12-29,MARTES,72
2020-12-30,MIERCOLES,59
2020-12-31,JUEVES,51
2021-01-01,VIERNES,22
2021-01-02,SABADO,32
2021-01-03,DOMINGO,30
2021-01-04,LUNES,62
2021-01-05,MARTES,37
2021-01-06,MIERCOLES,47
2021-01-07,JUEVES,52
2021-01-08,VIERNES,28
2021-01-09,SABADO,33
2021-01-10,DOMINGO,19
2021-01-11,LUNES,18
2021-01-12,MARTES,64
2021-01-13,MIERCOLES,55
2021-01-14,JUEVES,52
2021-01-15,VIERNES,51
2021-01-16,SABADO,38
2021-01-17,DOMINGO,17
2021-01-18,LUNES,50
2021-01-19,MARTES,55
2021-01-20,MIERCOLES,57
2021-01-21,JUEVES,57
2021-01-22,VIERNES,90
2021-01-23,SABADO,31
2021-01-24,DOMINGO,20
2021-01-25,LUNES,78
2021-01-26,MARTES,59
2021-01-27,MIERCOLES,63
2021-01-28,JUEVES,64
2021-01-29,VIERNES,84
2021-01-30,SABADO,91
2021-01-31,DOMINGO,47
2021-02-01,LUNES,61
2021-02-02,MARTES,66
2021-02-03,MIERCOLES,59
2021-02-04,JUEVES,78
2021-02-05,VIERNES,77
2021-02-06,SABADO,96
2021-02-07,DOMINGO,57
2021-02-08,LUNES,68
2021-02-09,MARTES,73
2021-02-10,MIERCOLES,72
2021-02-11,JUEVES,76
2021-02-12,VIERNES,77
2021-02-13,SABADO,86
2021-02-14,DOMINGO,60
2021-02-15,LUNES,67
2021-02-16,MARTES,71
2021-02-17,MIERCOLES,69
2021-02-18,JUEVES,59
2021-02-19,VIERNES,80
2021-02-20,SABADO,71
2021-02-21,DOMINGO,51
2021-02-22,LUNES,83
2021-02-23,MARTES,76
2021-02-24,MIERCOLES,87
2021-02-25,JUEVES,81
2021-02-26,VIERNES,83
2021-02-27,SABADO,90
2021-02-28,DOMINGO,53
2021-03-01,LUNES,103
2021-03-02,MARTES,88
2021-03-03,MIERCOLES,68
2021-03-04,JUEVES,94
2021-03-05,VIERNES,99
2021-03-06,SABADO,92
2021-03-07,DOMINGO,58
2021-03-08,LUNES,65
2021-03-09,MARTES,93
2021-03-10,MIERCOLES,83
2021-03-11,JUEVES,93
2021-03-12,VIERNES,96
2021-03-13,SABADO,108
2021-03-14,DOMINGO,64
2021-03-15,LUNES,88
2021-03-16,MARTES,78
2021-03-17,MIERCOLES,84
2021-03-18,JUEVES,74
2021-03-19,VIERNES,110
2021-03-20,SABADO,104
2021-03-21,DOMINGO,58
2021-03-22,LUNES,53
2021-03-23,MARTES,84
2021-03-24,MIERCOLES,72
2021-03-25,JUEVES,90
2021-03-26,VIERNES,105
2021-03-27,SABADO,73
2021-03-28,DOMINGO,58
2021-03-29,LUNES,87
2021-03-30,MARTES,96
2021-03-31,MIERCOLES,82
2021-04-01,JUEVES,46
2021-04-02,VIERNES,23
2021-04-03,SABADO,45
2021-04-04,DOMINGO,40
2021-04-05,LUNES,77
2021-04-06,MARTES,72
2021-04-07,MIERCOLES,82
2021-04-08,JUEVES,88
2021-04-09,VIERNES,110
2021-04-10,SABADO,32
2021-04-11,DOMINGO,17
2021-04-12,LUNES,24
2021-04-13,MARTES,101
2021-04-14,MIERCOLES,99
2021-04-15,JUEVES,89
2021-04-16,VIERNES,48
2021-04-17,SABADO,51
2021-04-18,DOMINGO,43
2021-04-19,LUNES,103
2021-04-20,MARTES,90
2021-04-21,MIERCOLES,87
2021-04-22,JUEVES,94
2021-04-23,VIERNES,45
2021-04-24,SABADO,47
2021-04-25,DOMINGO,36
2021-04-26,LUNES,82
2021-04-27,MARTES,73
2021-04-28,MIERCOLES,55
2021-04-29,JUEVES,78
2021-04-30,VIERNES,67
2021-05-01,SABADO,41
2021-05-02,DOMINGO,34
2021-05-03,LUNES,65
2021-05-04,MARTES,51
2021-05-05,MIERCOLES,32
2021-05-06,JUEVES,63
2021-05-07,VIERNES,71
2021-05-08,SABADO,72
2021-05-09,DOMINGO,61
2021-05-10,LUNES,85
2021-05-11,MARTES,75
2021-05-12,MIERCOLES,43
2021-05-13,JUEVES,70
2021-05-14,VIERNES,102
2021-05-15,SABADO,66
2021-05-16,DOMINGO,46
2021-05-17,LUNES,56
2021-05-18,MARTES,79
2021-05-19,MIERCOLES,66
2021-05-20,JUEVES,78
2021-05-21,VIERNES,78
2021-05-22,SABADO,70
2021-05-23,DOMINGO,33
2021-05-24,LUNES,76
2021-05-25,MARTES,75
2021-05-26,MIERCOLES,65
2021-05-27,JUEVES,85
2021-05-28,VIERNES,60
2021-05-29,SABADO,89
2021-05-30,DOMINGO,71
2021-05-31,LUNES,74
2021-06-01,MARTES,65
2021-06-02,MIERCOLES,78
2021-06-03,JUEVES,73
2021-06-04,VIERNES,82
2021-06-05,SABADO,90
2021-06-06,DOMINGO,64
2021-06-07,LUNES,51
2021-06-08,MARTES,111
2021-06-09,MIERCOLES,69
2021-06-10,JUEVES,91
2021-06-11,VIERNES,99
2021-06-12,SABADO,91
2021-06-13,DOMINGO,71
2021-06-14,LUNES,54
2021-06-15,MARTES,104
2021-06-16,MIERCOLES,91
2021-06-17,JUEVES,78
2021-06-18,VIERNES,83
2021-06-19,SABADO,102
2021-06-20,DOMINGO,59
2021-06-21,LUNES,65
2021-06-22,MARTES,74
2021-06-23,MIERCOLES,72
2021-06-24,JUEVES,84
2021-06-25,VIERNES,90
2021-06-26,SABADO,86
2021-06-27,DOMINGO,44
2021-06-28,LUNES,74
2021-06-29,MARTES,66
2021-06-30,MIERCOLES,84
2021-07-01,JUEVES,90
2021-07-02,VIERNES,77
2021-07-03,SABADO,98
2021-07-04,DOMINGO,55
2021-07-05,LUNES,55
2021-07-06,MARTES,79
2021-07-07,MIERCOLES,87
2021-07-08,JUEVES,80
2021-07-09,VIERNES,76
2021-07-10,SABADO,75
2021-07-11,DOMINGO,55
2021-07-12,LUNES,71
2021-07-13,MARTES,88
2021-07-14,MIERCOLES,76
2021-07-15,JUEVES,77
2021-07-16,VIERNES,101
2021-07-17,SABADO,98
2021-07-18,DOMINGO,63
2021-07-19,LUNES,87
2021-07-20,MARTES,41
2021-07-21,MIERCOLES,87
2021-07-22,JUEVES,77
2021-07-23,VIERNES,70
2021-07-24,SABADO,79
2021-07-25,DOMINGO,58
2021-07-26,LUNES,75
2021-07-27,MARTES,64
2021-07-28,MIERCOLES,83
2021-07-29,JUEVES,86
2021-07-30,VIERNES,103
2021-07-31,SABADO,115
2021-08-01,DOMINGO,57
2021-08-02,LUNES,77
2021-08-03,MARTES,96
2021-08-04,MIERCOLES,85
2021-08-05,JUEVES,58
2021-08-06,VIERNES,99
2021-08-07,SABADO,71
2021-08-08,DOMINGO,64
2021-08-09,LUNES,77
2021-08-10,MARTES,77
2021-08-11,MIERCOLES,78
2021-08-12,JUEVES,87
2021-08-13,VIERNES,92
2021-08-14,SABADO,86
2021-08-15,DOMINGO,70
2021-08-16,LUNES,45
2021-08-17,MARTES,92
2021-08-18,MIERCOLES,75
2021-08-19,JUEVES,68
2021-08-20,VIERNES,102
2021-08-21,SABADO,91
2021-08-22,DOMINGO,59
2021-08-23,LUNES,91
2021-08-24,MARTES,79
2021-08-25,MIERCOLES,92
2021-08-26,JUEVES,68
2021-08-27,VIERNES,106
2021-08-28,SABADO,111
2021-08-29,DOMINGO,51
2021-08-30,LUNES,99
2021-08-31,MARTES,111
2021-09-01,MIERCOLES,95
2021-09-02,JUEVES,96
2021-09-03,VIERNES,124
2021-09-04,SABADO,98
2021-09-05,DOMINGO,57
2021-09-06,LUNES,104
2021-09-07,MARTES,80
2021-09-08,MIERCOLES,106
2021-09-09,JUEVES,90
2021-09-10,VIERNES,110
2021-09-11,SABADO,92
2021-09-12,DOMINGO,61
2021-09-13,LUNES,82
2021-09-14,MARTES,98
2021-09-15,MIERCOLES,113
2021-09-16,JUEVES,67
2021-09-17,VIERNES,117
2021-09-18,SABADO,121
2021-09-19,DOMINGO,66
2021-09-20,LUNES,82
2021-09-21,MARTES,91
2021-09-22,MIERCOLES,93
2021-09-23,JUEVES,96
2021-09-24,VIERNES,113
2021-09-25,SABADO,88
2021-09-26,DOMINGO,56
2021-09-27,LUNES,87
2021-09-28,MARTES,92
2021-09-29,MIERCOLES,77
2021-09-30,JUEVES,100
2021-10-01,VIERNES,119
2021-10-02,SABADO,136
2021-10-03,DOMINGO,72
2021-10-04,LUNES,97
2021-10-05,MARTES,112
2021-10-06,MIERCOLES,110
2021-10-07,JUEVES,102
2021-10-08,VIERNES,108
2021-10-09,SABADO,123
2021-10-10,DOMINGO,71
2021-10-11,LUNES,82
2021-10-12,MARTES,112
2021-10-13,MIERCOLES,93
2021-10-14,JUEVES,90
2021-10-15,VIERNES,106
2021-10-16,SABADO,95
2021-10-17,DOMINGO,67
2021-10-18,LUNES,33
2021-10-19,MARTES,84
2021-10-20,MIERCOLES,95
2021-10-21,JUEVES,110
2021-10-22,VIERNES,84
2021-10-23,SABADO,94
2021-10-24,DOMINGO,63
2021-10-25,LUNES,91
2021-10-26,MARTES,125
2021-10-27,MIERCOLES,97
2021-10-28,JUEVES,109
2021-10-29,VIERNES,120
2021-10-30,SABADO,119
2021-10-31,DOMINGO,75
2021-11-01,LUNES,64
2021-11-02,MARTES,104
2021-11-03,MIERCOLES,121
2021-11-04,JUEVES,108
2021-11-05,VIERNES,102
2021-11-06,SABADO,121
2021-11-07,DOMINGO,64
2021-11-08,LUNES,70
2021-11-09,MARTES,106
2021-11-10,MIERCOLES,82
2021-11-11,JUEVES,116
2021-11-12,VIERNES,111
2021-11-13,SABADO,111
2021-11-14,DOMINGO,71
2021-11-15,LUNES,49
2021-11-16,MARTES,103
2021-11-17,MIERCOLES,134
2021-11-18,JUEVES,106
2021-11-19,VIERNES,121
2021-11-20,SABADO,98
2021-11-21,DOMINGO,70
2021-11-22,LUNES,83
2021-11-23,MARTES,125
2021-11-24,MIERCOLES,108
2021-11-25,JUEVES,90
2021-11-26,VIERNES,111
2021-11-27,SABADO,104
2021-11-28,DOMINGO,76
2021-11-29,LUNES,83
2021-11-30,MARTES,103
2021-12-01,MIERCOLES,93
2021-12-02,JUEVES,93
2021-12-03,VIERNES,104
2021-12-04,SABADO,112
2021-12-05,DOMINGO,70
2021-12-06,LUNES,97
2021-12-07,MARTES,152
2021-12-08,MIERCOLES,60
2021-12-09,JUEVES,102
2021-12-10,VIERNES,108
2021-12-11,SABADO,69
2021-12-12,DOMINGO,67
2021-12-13,LUNES,99
2021-12-14,MARTES,101
2021-12-15,MIERCOLES,102
2021-12-16,JUEVES,99
2021-12-17,VIERNES,139
2021-12-18,SABADO,114
2021-12-19,DOMINGO,85
2021-12-20,LUNES,89
2021-12-21,MARTES,109
2021-12-22,MIERCOLES,105
2021-12-23,JUEVES,120
2021-12-24,VIERNES,71
2021-12-25,SABADO,50
2021-12-26,DOMINGO,50
2021-12-27,LUNES,87
2021-12-28,MARTES,75
2021-12-29,MIERCOLES,62
2021-12-30,JUEVES,80
2021-12-31,VIERNES,39
2022-01-01,SABADO,36
2022-01-02,DOMINGO,23
2022-01-03,LUNES,50
2022-01-04,MARTES,75
2022-01-05,MIERCOLES,41
2022-01-06,JUEVES,44
2022-01-07,VIERNES,58
2022-01-08,SABADO,52
2022-01-09,DOMINGO,37
2022-01-10,LUNES,38
2022-01-11,MARTES,63
2022-01-12,MIERCOLES,70
2022-01-13,JUEVES,86
2022-01-14,VIERNES,60
2022-01-15,SABADO,65
2022-01-16,DOMINGO,54
2022-01-17,LUNES,74
2022-01-18,MARTES,66
2022-01-19,MIERCOLES,93
2022-01-20,JUEVES,78
2022-01-21,VIERNES,80
2022-01-22,SABADO,103
2022-01-23,DOMINGO,67
2022-01-24,LUNES,59
2022-01-25,MARTES,70
2022-01-26,MIERCOLES,86
2022-01-27,JUEVES,90
2022-01-28,VIERNES,80
2022-01-29,SABADO,88
2022-01-30,DOMINGO,51
2022-01-31,LUNES,99
2022-02-01,MARTES,89
2022-02-02,MIERCOLES,84
2022-02-03,JUEVES,95
2022-02-04,VIERNES,74
