date,division,unemployment
2017-08-01,MARTES,87
2017-08-02,MIERCOLES,90
2017-08-03,JUEVES,93
2017-08-04,VIERNES,119
2017-08-05,SABADO,97
2017-08-06,DOMINGO,60
2017-08-07,LUNES,41
2017-08-08,MARTES,114
2017-08-09,MIERCOLES,84
2017-08-10,JUEVES,95
2017-08-11,VIERNES,108
2017-08-12,SABADO,99
2017-08-13,DOMINGO,62
2017-08-14,LUNES,94
2017-08-15,MARTES,122
2017-08-16,MIERCOLES,89
2017-08-17,JUEVES,94
2017-08-18,VIERNES,108
2017-08-19,SABADO,102
2017-08-20,DOMINGO,54
2017-08-21,LUNES,41
2017-08-22,MARTES,109
2017-08-23,MIERCOLES,92
2017-08-24,JUEVES,97
2017-08-25,VIERNES,98
2017-08-26,SABADO,85
2017-08-27,DOMINGO,58
2017-08-28,LUNES,95
2017-08-29,MARTES,128
2017-08-30,MIERCOLES,88
2017-08-31,JUEVES,116
2017-09-01,VIERNES,121
2017-09-02,SABADO,95
2017-09-03,DOMINGO,84
2017-09-04,LUNES,87
2017-09-05,MARTES,87
2017-09-06,MIERCOLES,80
2017-09-07,JUEVES,58
2017-09-08,VIERNES,118
2017-09-09,SABADO,89
2017-09-10,DOMINGO,60
2017-09-11,LUNES,90
2017-09-12,MARTES,92
2017-09-13,MIERCOLES,103
2017-09-14,JUEVES,111
2017-09-15,VIERNES,100
2017-09-16,SABADO,89
2017-09-17,DOMINGO,66
2017-09-18,LUNES,94
2017-09-19,MARTES,93
2017-09-20,MIERCOLES,89
2017-09-21,JUEVES,97
2017-09-22,VIERNES,86
2017-09-23,SABADO,86
2017-09-24,DOMINGO,49
2017-09-25,LUNES,74
2017-09-26,MARTES,100
2017-09-27,MIERCOLES,107
2017-09-28,JUEVES,111
2017-09-29,VIERNES,106
2017-09-30,SABADO,105
2017-10-01,DOMINGO,68
2017-10-02,LUNES,104
2017-10-03,MARTES,107
2017-10-04,MIERCOLES,69
2017-10-05,JUEVES,84
2017-10-06,VIERNES,99
2017-10-07,SABADO,80
2017-10-08,DOMINGO,62
2017-10-09,LUNES,107
2017-10-10,MARTES,92
2017-10-11,MIERCOLES,76
2017-10-12,JUEVES,97
2017-10-13,VIERNES,76
2017-10-14,SABADO,78
2017-10-15,DOMINGO,56
2017-10-16,LUNES,47
2017-10-17,MARTES,90
2017-10-18,MIERCOLES,101
2017-10-19,JUEVES,87
2017-10-20,VIERNES,113
2017-10-21,SABADO,88
2017-10-22,DOMINGO,60
2017-10-23,LUNES,95
2017-10-24,MARTES,98
2017-10-25,MIERCOLES,110
2017-10-26,JUEVES,94
2017-10-27,VIERNES,143
2017-10-28,SABADO,122
2017-10-29,DOMINGO,81
2017-10-30,LUNES,101
2017-10-31,MARTES,99
2017-11-01,MIERCOLES,94
2017-11-02,JUEVES,109
2017-11-03,VIERNES,105
2017-11-04,SABADO,109
2017-11-05,DOMINGO,52
2017-11-06,LUNES,66
2017-11-07,MARTES,127
2017-11-08,MIERCOLES,80
2017-11-09,JUEVES,79
2017-11-10,VIERNES,95
2017-11-11,SABADO,104
2017-11-12,DOMINGO,56
2017-11-13,LUNES,44
2017-11-14,MARTES,105
2017-11-15,MIERCOLES,97
2017-11-16,JUEVES,99
2017-11-17,VIERNES,88
2017-11-18,SABADO,92
2017-11-19,DOMINGO,70
2017-11-20,LUNES,97
2017-11-21,MARTES,113
2017-11-22,MIERCOLES,117
2017-11-23,JUEVES,103
2017-11-24,VIERNES,116
2017-11-25,SABADO,94
2017-11-26,DOMINGO,75
2017-11-27,LUNES,107
2017-11-28,MARTES,119
2017-11-29,MIERCOLES,98
2017-11-30,JUEVES,112
2017-12-01,VIERNES,101
2017-12-02,SABADO,100
2017-12-03,DOMINGO,61
2017-12-04,LUNES,82
2017-12-05,MARTES,110
2017-12-06,MIERCOLES,128
2017-12-07,JUEVES,130
2017-12-08,VIERNES,68
2017-12-09,SABADO,78
2017-12-10,DOMINGO,71
2017-12-11,LUNES,96
2017-12-12,MARTES,108
2017-12-13,MIERCOLES,87
2017-12-14,JUEVES,105
2017-12-15,VIERNES,82
2017-12-16,SABADO,102
2017-12-17,DOMINGO,84
2017-12-18,LUNES,116
2017-12-19,MARTES,108
2017-12-20,MIERCOLES,103
2017-12-21,JUEVES,110
2017-12-22,VIERNES,94
2017-12-23,SABADO,93
2017-12-24,DOMINGO,65
2017-12-25,LUNES,41
2017-12-26,MARTES,99
2017-12-27,MIERCOLES,80
2017-12-28,JUEVES,79
2017-12-29,VIERNES,76
2017-12-30,SABADO,51
2017-12-31,DOMINGO,47
2018-01-01,LUNES,42
2018-01-02,MARTES,39
2018-01-03,MIERCOLES,54
2018-01-04,JUEVES,65
2018-01-05,VIERNES,47
2018-01-06,SABADO,35
2018-01-07,DOMINGO,35
2018-01-08,LUNES,32
2018-01-09,MARTES,79
2018-01-10,MIERCOLES,76
2018-01-11,JUEVES,62
2018-01-12,VIERNES,79
2018-01-13,SABADO,71
2018-01-14,DOMINGO,62
2018-01-15,LUNES,78
2018-01-16,MARTES,76
2018-01-17,MIERCOLES,81
2018-01-18,JUEVES,79
2018-01-19,VIERNES,94
2018-01-20,SABADO,90
2018-01-21,DOMINGO,60
2018-01-22,LUNES,79
2018-01-23,MARTES,95
2018-01-24,MIERCOLES,107
2018-01-25,JUEVES,93
2018-01-26,VIERNES,89
2018-01-27,SABADO,95
2018-01-28,DOMINGO,59
2018-01-29,LUNES,106
2018-01-30,MARTES,100
2018-01-31,MIERCOLES,101
2018-02-01,JUEVES,57
2018-02-02,VIERNES,95
2018-02-03,SABADO,106
2018-02-04,DOMINGO,60
2018-02-05,LUNES,99
2018-02-06,MARTES,99
2018-02-07,MIERCOLES,88
2018-02-08,JUEVES,86
2018-02-09,VIERNES,101
2018-02-10,SABADO,104
2018-02-11,DOMINGO,73
2018-02-12,LUNES,83
2018-02-13,MARTES,95
2018-02-14,MIERCOLES,121
2018-02-15,JUEVES,85
2018-02-16,VIERNES,119
2018-02-17,SABADO,98
2018-02-18,DOMINGO,75
2018-02-19,LUNES,91
2018-02-20,MARTES,109
2018-02-21,MIERCOLES,111
2018-02-22,JUEVES,98
2018-02-23,VIERNES,105
2018-02-24,SABADO,106
2018-02-25,DOMINGO,62
2018-02-26,LUNES,102
2018-02-27,MARTES,115
2018-02-28,MIERCOLES,105
2018-03-01,JUEVES,110
2018-03-02,VIERNES,115
2018-03-03,SABADO,115
2018-03-04,DOMINGO,75
2018-03-05,LUNES,97
2018-03-06,MARTES,104
2018-03-07,MIERCOLES,105
2018-03-08,JUEVES,134
2018-03-09,VIERNES,137
2018-03-10,SABADO,104
2018-03-11,DOMINGO,66
2018-03-12,LUNES,114
2018-03-13,MARTES,124
2018-03-14,MIERCOLES,101
2018-03-15,JUEVES,129
2018-03-16,VIERNES,124
2018-03-17,SABADO,121
2018-03-18,DOMINGO,67
2018-03-19,LUNES,49
2018-03-20,MARTES,130
2018-03-21,MIERCOLES,102
2018-03-22,JUEVES,100
2018-03-23,VIERNES,124
2018-03-24,SABADO,93
2018-03-25,DOMINGO,63
2018-03-26,LUNES,108
